customer_id,enter_frame,exit_frame,took_can,counter_wait_frames
CUST_0001,2,48,False,0
CUST_0007,571,603,True,0
CUST_0011,608,685,True,0
CUST_0021,659,690,False,0
CUST_0030,1335,1366,False,0
CUST_0040,1521,1554,False,0
CUST_0053,1588,1669,True,0
CUST_0058,1696,1728,True,11
CUST_0066,1788,1824,True,0
CUST_0069,1837,2004,True,0
CUST_0084,1977,2049,True,0
CUST_0085,2022,2054,True,0
CUST_0109,2657,2689,False,0
CUST_0131,3271,3302,False,0
CUST_0155,4033,4138,True,0
CUST_0207,5101,5149,False,0
CUST_0221,5298,5339,True,0
CUST_0244,5619,5682,False,0
CUST_0250,5751,5782,False,0
CUST_0249,5744,5793,False,0
CUST_0279,6453,6494,True,0
CUST_0282,6491,6531,False,0
CUST_0290,6519,6593,False,0
CUST_0302,6886,6961,False,0
CUST_0316,7095,7159,True,0
CUST_0335,7177,7208,False,0
CUST_0340,7200,7233,False,0
CUST_0343,7210,7250,False,0
CUST_0350,7292,7325,False,0
